threads_number,size,collect_time
250,12,23.0
700,12,70.0
250,2,11.0
250,23,44.5
250,35,78.5
250,46,91.5
250,69,160.5
250,69,192.5
250,103,247.0
250,138,350.0
250,138,341.0
50,138,76.0
25,138,24.0
100,138,88.0
400,138,538.0
200,138,263.5
100,45,26.0
100,45,27.0
100,45,27.0
250,45,137.0
250,45,81.0
250,45,114.0
250,45,122.0
250,45,85.0
100,45,26.5
100,45,25.5
100,45,28.75
700,46,254
700,69,427
700,103,747
700,35,235
700,138,982
25,46,8.75	
25,69,9.75
25,103,13.75
52,35,6.125
25,138,19
